Order No.,Products,Date
22371,P2352,2013-11-18
22372,P3569 P3528 P3527 P2939 P3450 P3454 P3509 P3510 P3511 P663 P870 P3300 P3407,2013-11-18
22373,P3649 P607,2013-11-18
22374,P1935 P2474 P1761 P1912 P409 P3380,2013-11-18
22375,P1090 P92 P1005 P91,2013-11-18
22376,P905 P237 P139 P76 P353 P77 P130 P460 P261 P1 P158 P159 P160 P29 P28 P204 P1641 P92 P1090 P121 P2167 P719,2013-11-20
22377,P55 P3733 P215 P261 P531 P169 P57 P216 P801 P1408 P721 P633,2013-11-20
22378,P300 P299 P78 P22 P360 P1360 P526 P1363 P425 P178 P689,2013-11-20
22379,P573 P577 P574 P572 P96 P10,2013-11-20
22380,P793 P3180 P3268 P2571 P2444 P1335 P2670 P2816 P2132 P917 P2459 P914 P918 P2265 P69 P516 P726 P703 P1259 P356 P3795 P524 P901 P506 P1121 P1100 P341 P355 P798 P1254 P3792 P3814 P3712 P3682 P3677 P1911 P2850 P2686 P2733,2013-11-20
22381,P1575 P53 P52,2013-11-20
22382,P536,2013-11-20
22383,P1639,2013-11-20
22384,P3507 P186 P384 P412,2013-11-20
22385,P56,2013-11-20
22386,P620 P2397 P625 P531 P735 P158 P7 P261,2013-11-20
22387,P2603 P2602 P3048 P711 P3088 P3087 P3103,2013-11-20
22388,P982 P773 P641 P61 P171 P1004 P1370 P1011 P965 P480 P227 P1019 P1646 P67 P677 P1197 P40 P1203 P188 P772 P591 P76 P789 P805 P752 P161 P162 P312 P273 P68 P442 P833 P113 P114 P1427 P59 P81 P1388 P1639 P125 P1986 P1677 P1234 P598 P850 P362 P711 P625 P109 P869 P2460 P2246 P1624 P2352 P211 P750 P2971 P2646 P54 P240 P285 P1652 P2288 P73 P1654 P1662 P3037,2013-11-20
22389,P607,2013-11-20
22390,P2419 P3149 P3154 P3150,2013-11-20
22391,P129 P1010 P153 P920 P262 P710,2013-11-20
22392,P404 P3359 P3733 P817 P218 P216 P215 P843 P27 P204,2013-11-20
22393,P813,2013-11-20
22394,P458 P3860 P3872 P612 P1490 P3867 P3871 P3860 P3359 P755 P526 P713 P3099 P3933 P3930 P3929 P3931 P3583 P3753 P381 P3762 P468 P33 P244 P1616 P1001 P713 P1234 P709 P2683 P420 P3816 P1360 P3813 P391 P527 P1048 P3636,2013-11-20
22395,P294 P1641 P1703 P121 P125 P536 P1574 P805 P312 P126 P1417 P810 P1178 P95 P1187 P564 P2766 P1347 P1348 P646 P445 P123 P434 P409 P582 P273 P302,2013-11-20
22396,P1865,2013-11-20
22397,P317 P481 P498 P246 P1537 P266 P3437 P95 P1641 P3399 P3591 P46,2013-11-20
22398,P629,2013-11-20
22399,P110 P211 P21 P738 P26,2013-11-20
22400,P158 P350 P3794 P3793 P3599 P3303 P3304 P3359 P3758 P3855 P3857 P202 P3813 P3698 P3697 P3464 P3463 P3871 P3860 P3867 P405 P683 P680 P681 P196 P197 P206 P3730 P3733 P218 P57 P216 P215,2013-11-20
22401,P33 P300 P1537 P1078 P1608 P435 P3948 P678 P95 P3733 P219 P796 P404,2013-11-20
22402,P106 P262 P1461,2013-11-20
22403,P3359,2013-11-20
22404,P168 P3505 P1121 P153 P415 P287 P2046 P3279 P1405 P2224 P1427 P300 P713 P425 P3446 P481 P3774 P3571 P3763 P245 P1111 P3826 P637 P3846 P3824 P10 P1136 P10 P744 P495 P3518 P3821 P409 P3359 P174 P201 P2223 P440 P175 P218 P8 P196 P859 P1641 P3220 P532 P3601 P215 P3399 P505 P747 P394 P445 P713 P3434 P3300,2013-11-20
22405,P318 P1353 P3535 P533 P1761 P2474 P683 P2932 P2015 P54 P146 P3324 P3340 P1363,2013-11-20
22406,P1472,2013-11-20
22407,P2047,2013-11-20
22408,P3429 P504 P692 P446 P461 P426 P1646 P36 P66 P293 P137 P362 P10 P806 P414 P3184 P101 P721 P1538 P79 P1835 P1041 P3427,2013-11-20
22409,P3851 P253 P1744 P3743 P3739 P3098 P3099 P1015 P3740 P3800 P3797 P1537 P126 P3536 P3099 P3098 P3816 P3551 P660 P3549 P2415 P3437 P3620 P3146 P3145 P3527 P759 P126 P3823 P303 P1128 P3829 P2224 P3820 P3817 P3828 P3816 P3819 P920 P321 P3418 P3469 P3855 P827 P252 P326 P629 P765 P1560 P1369 P1878 P1245 P863 P862 P793 P497 P27 P3620 P159 P3519 P3518 P3851 P853 P1957 P3860 P3437 P478 P1428 P704 P3737 P3218 P3464 P3463 P381 P478 P421 P422 P1237 P423 P840 P1387 P318 P1631 P1608 P279 P3535 P601 P323 P323 P262 P3449 P629 P689 P183 P836 P1085 P197 P419 P1632 P383 P2420 P187 P323 P436 P1608 P3569,2013-11-20
22410,P1380 P199 P1470 P1211 P113 P1608 P331 P861 P762 P2602 P3057 P3164 P3168 P3157 P3156 P3172 P166 P2543 P1948 P210 P142 P39,2013-11-20
22411,P415 P295 P1581 P66 P264 P263 P36 P265 P3303 P3410 P1253 P34 P1011 P1527 P452 P65 P171 P72 P69 P71 P70 P290 P3509 P3510 P317 P2618 P13 P367 P185 P994 P1012 P212,2013-11-20
22412,P3545 P3313 P3329 P3328 P801 P1408 P721,2013-11-20
22413,P1641 P3303 P3410 P3447 P1137 P1 P158 P160 P159 P28 P121 P92 P2090 P101 P1835 P3338 P3334 P1194 P1092 P237 P1390,2013-11-20
22414,P3463 P3464 P795 P265 P263 P292 P3301 P66 P192 P60 P139 P3407 P77 P59 P3302,2013-11-20
22415,P285 P1266 P1641 P3095 P3104 P3102 P3094 P3090 P3091 P128 P3087 P3143 P1670 P2704 P2061 P1706 P515 P1735 P1671 P1672 P1812 P1812 P1812 P2602 P1537 P1211 P22 P606,2013-11-20
22416,P39 P762 P3300 P139 P59 P1427 P77 P81 P3407 P3141 P3446 P356 P1100 P506 P1121 P3838 P3818 P3813 P58 P1 P3827 P3815 P398 P702 P568 P3532 P167 P46 P393 P901 P726 P524 P396 P3639 P3536 P3545 P237 P1742 P243 P90 P1622,2013-11-20
22417,P511 P65 P172 P171 P663 P365 P364 P1013 P1449 P309 P677 P805 P531,2013-11-20
22418,P163 P164 P2899 P35 P425 P36 P1194 P83 P1384 P1092 P445,2013-11-20
22419,P3751 P920,2013-11-20
22420,P3099 P3147 P3144 P3149 P3168 P3166 P3167 P3165 P10 P1567 P1515 P388 P161 P1386 P205 P3098,2013-11-20
22421,P1524,2013-11-20
22422,P977 P350 P1016 P123 P1611 P88 P1561 P2023 P1205 P110 P239 P279 P280 P1492 P1253 P649 P721 P822 P2642 P2581 P1368 P1367 P494 P69,2013-11-20
22423,P1173 P1944 P1142,2013-11-20
22424,P744,2013-11-20
22425,P641 P1166 P984 P62 P985 P264 P292 P1782 P1783 P288 P227 P217 P444 P182 P738 P1123 P333 P77 P591 P76 P89 P337 P1452 P518 P219 P216 P57 P762 P829 P415 P81 P531 P184 P100 P105 P201 P174 P2006 P1242 P403 P394 P215 P1785 P21 P1788 P5 P4 P1789 P909 P910 P285 P687 P1795,2013-11-20
22426,P3902 P752 P1619 P295,2013-11-20
22427,P104 P338 P115 P732 P731,2013-11-20
22428,P3901,2013-11-20
22429,P66 P1646 P293 P67 P263 P36 P362 P137 P3301 P3410 P1427 P591 P59 P134 P139 P1145 P528 P3279 P3278 P3294 P600 P295 P113 P114 P331 P834 P361 P54 P1639,2013-11-20
22430,P1447 P610 P1706 P1669 P312 P658 P2042 P622 P2804 P1670 P2704 P1671 P2652 P2653 P2654 P2479 P1545 P2076 P2077 P2254 P1221 P406 P2096 P1223 P1225 P1510 P1995 P827 P1994 P316 P543 P541 P2078 P833 P834 P836 P2062 P1304 P1988 P935 P2813 P2113 P941 P2430 P2071 P2072 P2432 P490 P489 P2275 P944 P1336 P1999 P1127 P919 P2104 P2310 P280 P431 P1293 P1701 P2300 P1575 P760 P75 P761 P1358 P1877 P1228 P2700 P107 P1328 P1327 P1540 P653 P125 P126 P842 P229 P618 P765 P192 P449 P199 P1238 P507 P412 P362 P201 P174 P403 P625 P538 P2203 P504 P462 P1153 P1528 P2477 P1725 P1436 P968 P318 P974 P976 P1600 P2348 P1159 P1807 P1160 P1643 P1990 P2323 P1162 P1163 P1164 P2579 P359 P984 P2084 P314 P2603 P2602 P29 P27 P205 P860 P493 P369 P222 P864 P85 P276 P695 P1975 P679 P419 P41 P2405 P2334 P2710 P2204 P510 P2702 P2355 P1 P2205 P922 P1612 P500 P393 P22 P78 P642 P876 P549 P2225 P2047 P2048 P2261 P884 P885 P1260 P1261 P2692 P2123 P2050 P1885 P1970 P1760 P1641 P2734 P890 P892 P1270 P2677 P1271 P546 P463 P62 P292 P986 P987 P1562 P1558 P2250 P2179 P964 P509 P728 P1170 P1437 P1663 P999 P1109 P1551 P1554 P1747 P2186 P1552 P61 P2691 P351 P1174 P1175 P726 P924 P597 P1729 P1002 P1004 P2567 P1008 P1727 P1617 P1009 P1179 P1730 P1180 P1345 P1731 P1012 P212 P2085 P56 P2795 P1181 P1016 P203 P129 P1018 P1420 P1026 P1735 P1187 P433 P1027 P1378 P678 P696 P446 P102 P1989 P2091 P1150 P2038 P1737 P1927 P1061 P1385 P1738 P1759 P389 P386 P1339 P387 P774 P1295 P1446 P2708 P2709 P2814 P1703 P345 P1704 P775 P1199 P173 P776 P777 P778 P779 P1974 P1202 P2093 P1486 P784 P370 P1375 P1635 P31 P785 P435 P1208 P42 P299 P420 P591 P89 P789 P1858 P1516 P792 P793 P794 P497 P795 P1568 P2770 P140 P55 P906 P907 P908 P1632 P2420 P909 P911 P430 P1363 P912 P2308 P2805 P2366 P913 P2197 P2472 P230 P2481 P1435 P231 P73 P1469 P615 P2154 P1919 P2145 P2666 P596 P1705 P2298 P1296 P1125 P1925 P2585 P2635 P2421 P390 P2815 P749 P2061 P800 P352 P372 P46 P2193 P2095 P219 P218 P1774 P238 P1413 P1648 P1638 P806 P807 P809 P1607 P811 P812 P1620 P634 P342 P1215 P130 P815 P170 P2417 P2637 P1216 P1423 P1422 P2243 P1063 P2593 P1993 P1894 P1282 P1992 P1284 P1694 P2020 P2137 P2615 P2483 P99 P476 P1096 P1095 P957 P2526 P2794 P1289 P2488 P2489 P2388 P1543 P1967 P611 P2182 P2119 P15 P306 P72 P290 P1661 P918 P1867 P1846,2013-11-20
22431,P3540 P3538 P400 P3102 P3101 P3094 P3095 P3100 P3093 P3105 P3090 P3508 P3506 P1821 P193 P2097 P400 P3745 P2866 P506 P1121 P3536 P398 P3446 P3744 P3529 P396 P3551 P3446 P3744 P393 P3583 P3937 P396 P3536 P2866 P760 P75 P231 P3686 P3685 P3538 P1261 P3948 P443 P3946 P1259 P1117 P240 P241 P242 P1600 P1807 P892 P3966 P3950 P3684 P168 P1589 P313 P169 P3968 P1012 P2145 P212 P3181 P3969 P295 P2496 P2719 P418 P3507 P69 P288 P70 P417 P289 P72 P3509 P33 P448 P627 P404 P3303 P3410 P1646 P1212 P37 P984 P67 P68 P1679 P3686 P1010 P3775 P984 P1253 P461 P415 P891 P3180 P2477 P362 P36 P631 P3814 P3822 P630 P995 P3815 P3827 P3770 P58 P1 P3549 P3550 P3547 P3564 P264 P1581 P1449 P1013 P3088 P39 P3305 P3301 P291 P62 P3304 P3303 P105 P447 P829 P762 P3299 P3956 P265 P833 P1166 P985 P66 P381 P3300,2013-11-20
22432,P234,2013-11-20
22433,P3300 P3437,2013-11-20
22434,P1396 P294 P312 P1913 P1936 P536,2013-11-20
22435,P1376 P853 P765 P693 P187 P45 P1363,2013-11-20
22436,P965,2013-11-20
22437,P22 P3442 P1866 P3408 P3410 P3300 P334 P22 P137 P514 P3410 P293 P1248 P11 P1244 P1243 P12 P584 P3442 P3408 P3278 P793 P3429 P580 P3454,2013-11-20
22438,P800 P254 P997 P6 P1361 P362 P37 P36 P969 P45 P318 P1201 P415 P414 P649 P328 P2683 P2679 P263 P187 P3095 P3101 P1741 P13 P1237 P323 P2761 P304 P1228 P603 P994 P11 P1243 P12 P3188 P3187 P3185 P683 P1475 P3150 P3154 P3149,2013-11-20
22439,P531 P657,2013-11-20
22440,P3081,2013-11-20
22441,P625,2013-11-20
22442,P3607 P528 P531 P3438 P711 P22 P3437 P3526 P2603 P133 P79,2013-11-20
22443,P1475 P3674 P683 P1055 P2335 P1529 P681 P1536 P1542 P2592 P66 P3301 P291 P3303 P293 P137 P1526 P106 P3775 P634 P1364 P350 P516 P517 P140 P1101 P530 P13 P411 P382 P329 P383 P3339 P341 P608 P143 P3196 P1361 P195 P1381 P314 P538 P1472 P549 P796 P1380 P1546 P147 P836 P1809 P1083 P759 P3324 P498 P246 P481 P589 P1048 P420 P1360 P177 P383 P329 P382 P1090 P90 P1004 P714 P3796 P3798 P3797 P3800 P3463 P3464 P3813 P3828 P3790 P1872 P803 P804 P3765 P2338 P2333 P497 P794 P795 P3449 P28 P1061 P1385 P1194 P3581 P1092 P1384 P83 P3580 P3573 P3576 P10 P1136 P2914,2013-11-20
22444,P3303 P367 P3410 P993 P1324 P329,2013-11-20
22445,P3955 P3408 P139 P3048 P55 P8 P3468 P154 P3408 P59 P358 P77 P772 P3957,2013-11-20
22446,P2378 P317 P129 P914 P1076 P104,2013-11-20
22447,P3521 P2636 P1459 P90 P1208 P244 P1003 P82 P1275 P1004 P2131 P869 P92 P1239 P1012 P212 P52 P3525 P704 P341 P608 P285 P286 P41 P2602 P2603 P1262 P2357 P3539 P3540 P3226 P3228 P3227 P2330 P2049 P3538 P3506 P1133 P213 P889 P1934 P2335 P3682 P2145 P49 P3507 P3529 P3570 P289 P3511 P72 P290 P417 P3509 P71 P290 P393 P652 P36 P38 P37 P362,2013-11-20
22448,P1989 P2091 P1989 P1150 P356 P355 P357 P502 P501 P3445 P2256 P203 P193 P3441 P3440 P3455 P2398 P2571 P356 P355 P3536 P248 P249 P1336 P1016 P726 P555 P1846 P961 P3911 P123 P1341 P381,2013-11-20
22449,P3278 P3279 P3536 P2357 P105 P3399 P3521 P3535 P2680 P1262 P705 P2999 P1993 P2145 P1992 P1769 P2049 P61 P3407 P3408 P59 P213 P240 P2680 P1413 P52 P53 P1427 P3406 P3302 P77 P1446 P265 P66 P264 P66 P3410 P263 P293 P1060 P3303 P1921 P3304 P62 P762 P985 P829 P1894 P36 P362 P2603,2013-11-20
22450,P704 P531 P1034 P16 P17 P8 P1599 P9 P78 P273 P495 P451,2013-11-20
22451,P531 P625,2013-11-20
22452,P213,2013-11-20
22453,P3463 P110 P738 P3957 P60 P3956 P3955 P3545 P3536 P591 P76,2013-11-20
22454,P736 P1027 P738 P1410 P674 P83 P439 P438 P437 P774 P775 P1199 P2092 P1424 P706 P788 P77 P591 P76 P89 P70 P180 P179 P1379 P1380 P1361 P1138 P1568 P2771 P95 P805 P811 P177 P194 P342 P161 P162 P169 P1063 P1669 P312 P658 P2042 P583 P2402 P2653 P2654 P2621 P146 P829 P441 P1675 P666 P415 P291 P1809 P81 P289 P531 P250 P1639 P449 P471 P637 P636 P663 P856 P1239 P37 P1390 P2128 P2603 P2602 P29 P12 P411 P561 P413 P108 P739 P261 P302 P644 P1458 P1253 P606 P391 P879 P1431 P1265 P2053 P662 P1818 P1609 P1069 P2412 P286 P231 P952 P1286 P1829 P2794 P961 P96 P290 P1135 P63 P600 P1492 P1293 P139 P60 P358 P645 P924 P925 P390 P1299 P1528 P1154 P1456 P773 P985 P66 P1169 P631 P61 P1173 P50 P452 P1008 P2000 P69 P1016 P203 P350 P1377 P1344 P1421 P1420 P2088 P2036 P1187,2013-11-20
22455,P354 P1956 P3716 P3720 P3715 P3719 P755,2013-11-20
22456,P3565 P3549 P3547 P3652 P3650 P3651 P3653 P3550 P3564 P3659 P3664 P3709 P3685 P3684 P3743 P399 P1115 P3150 P3149 P36 P362 P693 P1376 P694 P3527 P370 P1375 P691 P1678,2013-11-20
22457,P2879,2013-11-20
22458,P2082 P1064 P2232 P719 P2167 P1065,2013-11-20
22459,P531,2013-11-20
22460,P3048 P3168 P3165 P541 P1428 P316 P1743 P36 P263 P137 P66 P265 P35 P913 P2984 P264 P362,2013-11-20
22461,P1247 P10 P464 P125 P21 P894 P306 P961 P2534 P1866 P72 P290 P70 P201 P569 P59 P265 P81 P62 P762 P292 P410 P180 P1131 P314 P695 P860 P1611 P404 P2383 P891 P689 P178 P414 P1266 P1234 P2602 P2054,2013-11-20
22462,P392 P1446 P262 P390 P646 P515,2013-11-20
22463,P2837,2013-11-20
22464,P1 P2 P3 P103 P47 P48 P49 P50 P51 P52 P53 P54 P55 P81 P4 P5 P6 P207 P7,2013-11-20
22465,P312 P122 P678 P644 P1361 P1975 P796 P314 P319 P1285 P1694 P1405 P522 P227 P3545 P3614 P789 P89 P3417 P287 P1480,2013-11-20
22466,P169 P2261 P464 P8 P197 P2771 P1012 P3088 P447 P105 P213 P212 P1012 P127 P3545 P1986 P229 P1843 P3629 P3317 P1646 P3508 P2983 P452 P1 P2200 P2201 P1562 P1562 P1562 P216 P125 P295 P711 P710 P994 P603,2013-11-20
22467,P3570 P396 P3532 P637 P663 P636 P870 P1082 P1398 P962 P711 P2603 P3651 P3653 P3652 P891 P293 P3301 P985 P805 P3452 P3576,2013-11-20
22468,P532,2013-11-20
22469,P3536 P752 P1073 P3730 P69 P57 P54 P55 P952 P71 P3088 P310 P262 P803 P952 P71 P1784 P1396 P3506 P3505 P3538 P3446 P3851 P435 P121 P323 P262 P215 P55 P3924 P1356,2013-11-20
22470,P620 P625 P2397 P531 P3427 P3426 P3425 P3424 P3423 P3422 P3523 P3575 P203 P3586 P3572 P3582 P3571 P303 P711 P22 P78 P3509 P3790 P3696 P3532 P110,2013-11-20
22471,P1461 P270 P1082,2013-11-20
22472,P78 P3302 P591 P3407 P520 P3408 P114 P59 P265 P113 P3303 P2642 P2676 P122 P3319 P1,2013-11-20
22473,P1349 P1589 P1407 P365 P1480 P516 P392 P713 P69 P3509 P418 P3103 P663 P637 P1018 P54 P2097 P506 P1121 P1100 P2546 P1 P3536 P3739 P3363 P990 P811 P3148 P1835 P101 P79 P2383,2013-11-20
22474,P1237 P411 P3910 P3903 P3902 P3922 P3909 P3904 P1781 P198 P1226 P619 P153 P3715 P3716 P167 P1033 P324 P1978 P2686 P3737 P1363 P423,2013-11-20
22475,P95 P1731 P318 P1353 P278 P1577 P1741 P1298 P3098 P1611 P1032 P301 P288 P841 P2172,2013-11-20
22476,P3955 P3408 P2336 P772 P3957 P1073 P965 P3613 P70 P1249 P425 P183 P178 P689 P426 P285 P2601 P803 P295 P3397 P1209 P1662 P965 P79 P1210 P3518 P3505 P3508 P161 P3957 P3408 P290 P162 P1648 P1991 P3956 P3410 P1073 P552 P518 P3613 P1167 P78 P514 P2076 P10 P585 P71 P889 P452 P229 P721 P199 P962 P512 P1101 P530 P3718,2013-11-20
22477,P887 P211 P2472 P638 P110 P2037,2013-11-20
22478,P1527 P639 P742 P713,2013-11-20
22479,P131,2013-11-20
22480,P637 P663 P3450 P2939 P2601 P1598 P2090 P1808 P160 P159 P204 P205 P1132 P27 P28 P1248 P1203,2013-11-20
22481,P358 P76 P134 P81 P139 P1427 P2918 P1948 P2544 P2623 P2919 P2929 P2963 P2925 P2967 P2935 P2405 P2706 P23 P24 P25 P84 P275 P84 P6 P493 P2603 P2333 P2331 P672 P1420 P2377 P220 P1124 P104 P156 P240 P238 P2187 P91 P1622 P243 P242 P244 P904 P122 P874 P11 P12 P1243 P214 P1467 P647 P653 P1540 P1077 P634 P1210 P1809 P1083 P836 P257 P2020 P2222 P1177 P1003 P1416 P1414 P482 P3 P1953 P1078 P1079 P1895 P1187 P1735 P2310 P1063 P1492 P226 P372 P281 P279 P352 P1489 P35 P2300 P823 P713 P286 P285 P303 P362 P38 P36 P709 P581 P514 P2457 P736 P1482 P440 P216 P215 P444 P176 P1574 P805 P710 P2116,2013-11-20
22482,P2406,2013-11-20
22483,P938 P2859 P2860 P2726 P2358 P2318 P2218 P2861 P2862 P2839 P2442 P212 P555 P305 P799 P1114 P1008 P961 P555 P1946 P92 P1946 P2133 P557 P1928 P2168 P603 P994 P2761 P401,2013-11-20
22484,P3359,2013-11-20
22485,P3660 P3300 P3302 P3406 P3407 P3565 P904 P1353 P3440 P952 P1781 P1298 P3508 P1099 P393 P3102 P3100 P3105 P3095 P3104 P3094 P3101 P723,2013-11-20
22486,P72 P69 P171 P184 P1574 P805,2013-11-20
22487,P1744 P723 P1018 P46 P167 P3649 P1567 P2054 P3792 P1934 P1903 P1100 P1121 P506 P3795 P1261 P2356,2013-11-20
22488,P123 P2 P122 P209 P1835 P721 P305 P307 P553 P1137 P894 P3565 P294,2013-11-20
22489,P531,2013-11-20
22490,P3572 P151 P831 P867 P866 P19 P843 P4028 P3927 P830 P1827 P3582 P641 P1427 P3359 P4 P1150 P178 P425 P46 P4029 P1573 P859 P2310 P570 P169 P2511 P771 P1848 P3449 P3430 P3927 P252 P3359 P2335 P1130 P538 P425 P853 P3430 P1224 P3429 P3505 P40 P143 P3429 P426 P169 P1490 P1470 P1684 P171 P703 P3629 P151 P37 P3708 P765 P3147 P3146 P141 P424 P1172 P10 P264 P3303 P263 P292 P388 P2546 P3539 P396 P142 P3740 P641 P1427 P323,2013-11-20
22491,P215 P440 P217 P158 P121 P2037 P1081 P1073 P1 P982 P17 P235 P140 P611 P1538 P655 P139 P209 P479,2013-11-20
22492,P2979 P1658 P139 P2280 P982 P641 P227 P77 P162 P1074 P1443 P1427 P869 P3168 P2467 P1662,2013-11-20
22493,P54,2013-11-20
22494,P506 P3902 P997 P3218 P2383 P592 P467 P78 P2224 P1137,2013-11-20
22495,P2224,2013-11-20
22496,P1242 P358 P139 P353 P3302,2013-11-20
22497,P478,2013-11-20
22498,P3463 P528,2013-11-20
22499,P185 P401 P405 P275 P274 P276 P3146 P3144 P3147 P1608,2013-11-20
22500,P762,2013-11-20
22501,P3360,2013-11-20
22502,P3229 P3226 P3706 P3651 P3652 P3653 P3654 P837 P860 P3523 P3519 P3525 P3607 P3613 P3527 P212 P426 P372 P302 P3511 P3507 P3518,2013-11-20
22503,P1837,2013-11-20
22504,P2383,2013-11-20
22505,P2603 P3521 P3607 P3573,2013-11-20
22506,P853,2013-11-20
22507,P1898 P903 P2656 P1550 P655 P855 P1641 P857 P247 P1825 P1 P531 P2383 P79 P620,2013-11-20
22508,P418 P429,2013-11-20
22509,P2566 P74 P2310 P3446 P3217 P3399 P3510 P1662 P230 P1088 P3509 P72 P1019 P1185 P1377 P765 P672 P1353 P2187 P266 P121 P1421 P532 P2758 P2168 P598 P1641 P1266 P6,2013-11-20
22510,P2544 P2545 P445 P1080,2013-11-20
22511,P1073 P127 P1965 P715 P1248 P1398 P2618 P2603 P2331 P2334 P2405 P1028 P1482 P737 P735 P734 P982 P1395 P2601 P2602 P1872 P1858 P498 P246 P481 P600 P64 P1135 P63 P709 P391 P2683 P1448 P712 P227 P260 P381,2013-11-20
22512,P762 P789 P1975 P1976 P697 P1537 P1150 P2091 P2223 P2403 P266,2013-11-20
22513,P920,2013-11-20
22514,P1525 P1114,2013-11-20
22515,P1091 P1974 P1106 P3508 P3538 P3506 P3539 P3540 P789 P263 P264 P291 P66 P265 P3410 P92 P237 P1275 P1090 P3733 P3616 P3536 P711 P49 P706 P1424 P1619 P620 P19 P3095 P3908 P3910 P3909 P3949 P55 P54 P222,2013-11-20
22516,P66 P293 P1857 P3505 P1207 P3613 P1544 P1034 P56 P479 P187 P300 P400 P3428 P2043 P1677 P1526 P3937 P126 P169 P2609 P1100 P1121 P1254 P3506 P3539 P3719 P1397 P1407 P3942 P295 P907 P24 P1070 P1221 P146 P222 P3026 P759 P3346 P219,2013-11-20
22517,P2237,2013-11-20
22518,P305,2013-11-20
22519,P3077,2013-11-20
22520,P22 P101,2013-11-20
22521,P625 P531,2013-11-20
22522,P1563,2013-11-20
22523,P1363 P299,2013-11-20
22524,P358,2013-11-20
22525,P3316 P3310 P634,2013-11-20
22526,P2410,2013-11-20
22527,P3907 P3937 P3938 P1784 P747 P1105 P505 P409 P408 P407 P500 P3494 P19 P125 P3341 P1137 P3440 P9 P3380 P531,2013-11-21
22528,P1639 P125 P461 P1646 P1641 P160 P159 P158 P28 P27 P205 P204 P95 P3359,2013-11-21
22529,P2441 P45 P67 P1033 P763,2013-11-21
22530,P1522 P3095 P3088 P3535 P3507 P2557 P1724 P1436 P318 P72 P289 P70 P417 P288 P69 P2496 P2719 P1686 P1927 P1741,2013-11-21
22531,P521 P41 P1824 P301 P803 P716 P199 P18 P2121 P218 P2603 P419 P1 P183 P184 P201 P586,2013-11-21
22532,P952 P997 P260 P69 P70 P3511 P418 P288 P3509 P290 P417 P1452 P1073 P404 P3827 P3814 P3815 P630 P1015 P995 P631 P630 P3838 P3837 P3836 P3835 P631 P1254 P3702 P3556 P3559 P3557 P3340 P630 P1514 P3441 P204 P205 P27 P29 P1608 P435 P3858 P829 P3304 P762 P985 P984 P62 P3299 P39 P497 P3702 P951 P105 P3420 P224 P795 P3464 P3463 P33 P169,2013-11-21
22533,P3934 P1172 P2968 P1186 P2918 P2402 P1673 P3852 P813 P54 P1763 P1762 P554 P2376 P2538 P151 P2541 P2511 P1848 P399 P1826 P2391 P432 P3457 P159 P3429 P3436 P3578 P85,2013-11-21
22534,P29 P3304 P3410 P3305 P3527 P3545 P3536 P90 P482 P237 P1797 P1567 P1515 P242 P1390 P3539 P3540 P3506 P3406 P3408 P3302 P3407 P353 P3583 P3551 P3465 P3463 P3464,2013-11-21
22535,P1538,2013-11-21
22536,P115 P220,2013-11-21
22537,P1757,2013-11-21
22538,P717 P680 P1479 P166 P2932 P2899 P3410 P3423 P531 P3303 P265 P263 P681 P683 P1527 P309,2013-11-21
22539,P2677,2013-11-21
22540,P1007 P295 P203 P952 P3438 P3545 P126 P3536 P710 P711 P3339 P1 P58 P759 P637 P636 P3454 P3155 P655 P855 P969 P613 P2581 P654 P1641 P1178 P174 P606 P1666 P1684 P247,2013-11-21
22541,P2383 P66,2013-11-21
22542,P543 P1396 P3560 P1975 P695 P644 P53 P52 P650 P291 P3301 P292 P3359 P755 P752 P813 P121 P1428 P832 P1224 P1454 P511 P1585 P293 P265 P66 P263 P2236 P143 P420 P1048 P1360 P314 P1138 P549 P1383 P1361 P1381 P195 P796 P634 P266 P3339 P3324 P711 P710 P327 P1255 P391 P3563 P3562 P2683 P2679 P1132 P204 P27 P28 P29 P85 P1600 P1067 P3578 P3576 P3579 P3429 P712 P759 P3463 P3464 P714 P90 P1622 P91 P1004 P3314 P531 P40 P3094 P3101 P3102 P3104 P3093 P3095 P3089 P3091 P3105 P418 P288 P417 P70 P289 P72 P69 P290 P79,2013-11-21
22543,P445 P444 P2490 P580 P199 P528 P287 P738 P1242 P754 P125 P1645 P765 P853 P1360 P33 P404 P45 P44 P1236 P1352 P379 P378 P401 P693 P584,2013-11-21
22544,P1997 P1918 P804 P518 P423 P401 P405 P185 P388 P140 P194 P1639 P536 P1268 P1269 P1962 P10 P2866 P1612 P1006 P1936 P71 P290 P687 P1209 P1662 P1771 P1410 P564 P171 P420 P1639 P442 P2490 P670,2013-11-21
22545,P1192 P1061 P1194 P2083,2013-11-21
22546,P1367 P841 P531,2013-11-21
22547,P21 P3473 P46 P3702 P393 P859 P3532 P1403 P167 P929 P3653 P3651 P3820 P3518 P3569 P380 P429 P3218 P3696 P2084 P319 P866 P1380 P1383 P548,2013-11-21
22548,P380 P759 P993 P216 P215 P218 P3628,2013-11-21
22549,P3288,2013-11-21
22550,P3867 P3872 P3870 P3848 P3821 P3880 P3868 P3861 P3860 P3862 P3869 P3881 P3399 P3450 P163 P164,2013-11-21
22551,P2516,2013-11-21
22552,P3408 P81 P3410 P856 P3440 P3441 P2766 P3446 P3536 P3545,2013-11-21
22553,P1641 P83 P1194 P158,2013-11-21
22554,P732,2013-11-21
